batch,median,median_cagr,worst5,best5,sharpe,p_dd30,p_dd50,cvar5
1,25.0881,11.339,8.4479,77.2848,0.9062,40.307,1.079,6.410
2,25.0624,11.336,8.4379,77.2907,0.8969,40.465,1.083,6.410
3,25.1255,11.345,8.4657,77.5449,0.9118,40.408,1.087,6.419
4,25.0882,11.339,8.4551,77.2805,0.9004,40.386,1.067,6.418
5,25.0927,11.340,8.4570,77.4609,0.9059,40.439,1.075,6.407
6,25.1267,11.345,8.4530,77.3709,0.9054,40.411,1.089,6.417
7,25.0830,11.339,8.4474,77.4984,0.9061,40.363,1.076,6.409
8,25.0915,11.340,8.4517,77.2948,0.9025,40.360,1.085,6.415
9,25.0789,11.338,8.4586,77.3544,0.9065,40.380,1.062,6.415
10,25.0930,11.340,8.4327,77.1413,0.9063,40.456,1.085,6.404
