candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
A_Current,1977-03,2007-02,1970s,79.7250,15.714,25.87
G15_noGoldEquiv,1977-03,2007-02,1970s,34.2184,12.497,16.66
allocation_noGoldEquiv,1977-03,2007-02,1970s,58.5263,14.528,16.97
A_Current,1977-04,2007-03,1970s,79.7763,15.717,25.80
G15_noGoldEquiv,1977-04,2007-03,1970s,34.3190,12.508,16.32
allocation_noGoldEquiv,1977-04,2007-03,1970s,58.8709,14.550,16.68
A_Current,1977-05,2007-04,1970s,82.1478,15.830,25.76
G15_noGoldEquiv,1977-05,2007-04,1970s,35.0202,12.584,16.26
allocation_noGoldEquiv,1977-05,2007-04,1970s,60.0216,14.624,16.70
A_Current,1977-06,2007-05,1970s,83.7786,15.906,25.73
G15_noGoldEquiv,1977-06,2007-05,1970s,34.9695,12.579,16.19
allocation_noGoldEquiv,1977-06,2007-05,1970s,60.2846,14.641,16.67
A_Current,1977-07,2007-06,1970s,80.6452,15.758,25.72
G15_noGoldEquiv,1977-07,2007-06,1970s,34.2675,12.503,16.00
allocation_noGoldEquiv,1977-07,2007-06,1970s,59.4329,14.587,16.45
A_Current,1977-08,2007-07,1970s,78.0032,15.630,25.58
G15_noGoldEquiv,1977-08,2007-07,1970s,33.9006,12.462,15.64
allocation_noGoldEquiv,1977-08,2007-07,1970s,59.0217,14.560,16.17
A_Current,1977-09,2007-08,1970s,78.1569,15.638,25.52
G15_noGoldEquiv,1977-09,2007-08,1970s,34.5434,12.533,15.22
allocation_noGoldEquiv,1977-09,2007-08,1970s,59.3279,14.580,14.12
A_Current,1977-10,2007-09,1970s,80.5632,15.754,25.35
G15_noGoldEquiv,1977-10,2007-09,1970s,35.6270,12.649,15.03
allocation_noGoldEquiv,1977-10,2007-09,1970s,60.9716,14.684,14.17
A_Current,1977-11,2007-10,1970s,83.7733,15.905,25.40
G15_noGoldEquiv,1977-11,2007-10,1970s,35.6176,12.648,16.92
allocation_noGoldEquiv,1977-11,2007-10,1970s,61.5099,14.718,15.63
A_Current,1977-12,2007-11,1970s,76.7606,15.568,25.96
G15_noGoldEquiv,1977-12,2007-11,1970s,33.3631,12.402,17.45
allocation_noGoldEquiv,1977-12,2007-11,1970s,57.8256,14.482,17.73
A_Current,1978-01,2007-12,1970s,76.6573,15.563,25.99
G15_noGoldEquiv,1978-01,2007-12,1970s,33.7740,12.448,17.44
allocation_noGoldEquiv,1978-01,2007-12,1970s,58.3059,14.514,17.74
A_Current,1978-02,2008-01,1970s,74.2755,15.441,25.91
G15_noGoldEquiv,1978-02,2008-01,1970s,33.1304,12.376,17.00
allocation_noGoldEquiv,1978-02,2008-01,1970s,57.2078,14.441,17.32
A_Current,1978-03,2008-02,1970s,72.2563,15.335,25.87
G15_noGoldEquiv,1978-03,2008-02,1970s,32.9570,12.357,16.66
allocation_noGoldEquiv,1978-03,2008-02,1970s,56.7376,14.410,16.97
A_Current,1978-04,2008-03,1970s,70.5278,15.242,25.80
G15_noGoldEquiv,1978-04,2008-03,1970s,32.7986,12.338,16.32
allocation_noGoldEquiv,1978-04,2008-03,1970s,56.4987,14.393,16.68
A_Current,1978-05,2008-04,1970s,69.0361,15.160,25.76
